LMP8760,gas8760
20.555,3.062
20.6855,3.062
135.9447,3.062
67.9185,3.062
32.1445,3.062
17.732,3.062
18.8638,3.062
18.5397,3.062
17.5365,3.062
16.8614,3.062
16.6626,3.062
15.4681,3.062
12.7761,3.062
15.1175,3.062
14.6995,3.062
13.4428,3.062
12.9903,3.062
13.6729,3.062
13.8481,3.062
13.4715,3.062
13.4796,3.062
13.7784,3.062
15.6467,3.062
14.4719,3.062
15.1538,3.062
15.0712,3.062
15.4842,3.062
9.1924,3.062
10.8745,3.062
11.3575,3.062
15.7391,3.062
11.4013,3.062
9.5559,3.062
10.4655,3.062
9.7021,3.062
2.9951,3.062
7.8189,3.062
3.8545,3.062
-3.6733,3.062
-7.0134,3.062
-14.4819,3.062
-2.5557,3.062
-2.8892,3.062
-5.377,3.062
-12.0803,3.062
-4.6454,3.062
9.4678,3.062
5.7905,3.062
5.3119,3.062
3.7128,3.062
6.9164,3.062
12.7258,3.062
12.4633,3.062
11.5536,3.062
11.9524,3.062
14.2371,3.062
14.3862,3.062
14.915,3.062
13.1342,3.062
-3.8716,3.062
15.5025,3.062
9.5924,3.062
15.219,3.062
14.414,3.062
14.1596,3.062
12.0262,3.062
11.2819,3.062
11.2554,3.062
10.2552,3.062
6.8868,3.062
6.6913,3.062
8.334,3.062
8.9122,3.062
10.2862,3.062
14.5276,3.062
12.4974,3.062
10.0219,3.062
7.2002,3.062
4.2458,3.062
4.2571,3.062
3.6219,3.062
0.999,3.062
4.1964,3.062
7.5544,3.062
5.6824,3.062
10.9125,3.062
12.5019,3.062
11.9886,3.062
10.4383,3.062
15.8447,3.062
15.0428,3.062
13.0776,3.062
13.9353,3.062
10.3539,3.062
12.2786,3.062
15.1597,3.062
15.973,3.062
16.3346,3.062
18.2705,3.062
17.4666,3.062
16.4279,3.062
16.4532,3.062
16.9376,3.062
17.5887,3.062
17.517,3.062
18.5869,3.062
17.5363,3.062
17.2161,3.062
16.7998,3.062
16.0661,3.062
14.9102,3.062
13.6174,3.062
13.1507,3.062
12.5734,3.062
12.1384,3.062
12.3141,3.062
11.6591,3.062
12.102,3.062
13.164,3.062
14.1031,3.062
14.4334,3.062
15.1689,3.062
16.7441,3.062
16.5561,3.062
15.4254,3.062
15.1112,3.062
14.5637,3.062
14.4171,3.062
14.4963,3.062
15.0054,3.062
16.2098,3.062
16.411,3.062
16.0316,3.062
15.8559,3.062
15.9315,3.062
15.8928,3.062
15.6178,3.062
15.4768,3.062
14.9894,3.062
14.4907,3.062
13.1746,3.062
13.0711,3.062
12.4219,3.062
12.3966,3.062
13.4862,3.062
14.269,3.062
14.2214,3.062
15.0884,3.062
15.502,3.062
15.2243,3.062
15.2798,3.062
15.2555,3.062
15.2891,3.062
15.6202,3.062
19.4444,3.062
17.4525,3.062
17.8426,3.062
16.0147,3.062
15.3067,3.062
15.0148,3.062
14.1842,3.062
13.2295,3.062
12.881,3.062
12.7315,3.062
12.6135,3.062
13.3589,3.062
14.5498,3.062
18.0179,3.062
15.9326,3.062
15.1519,3.062
15.2282,3.062
15.6909,3.062
14.8465,3.062
14.4879,3.062
14.0139,3.062
13.0106,3.062
11.1428,3.062
10.1158,3.062
-27.7334,3.062
-8.5304,3.062
4.1527,3.062
5.4775,3.062
-3.4797,3.062
-0.6959,3.062
-3.1602,3.062
-7.7434,3.062
-13.8813,3.062
2.6938,3.062
4.7705,3.062
4.0791,3.062
9.4287,3.062
14.6729,3.062
13.4482,3.062
11.8203,3.062
9.7392,3.062
11.3643,3.062
4.829,3.062
-3.9903,3.062
-11.5963,3.062
-2.8244,3.062
-8.1535,3.062
-8.4304,3.062
-4.3542,3.062
3.3412,3.062
11.6555,3.062
14.355,3.062
14.3519,3.062
14.461,3.062
14.1791,3.062
14.5182,3.062
14.6862,3.062
14.7852,3.062
14.8391,3.062
15.6203,3.062
16.455,3.062
20.1991,3.062
20.8082,3.062
19.5644,3.062
17.4172,3.062
16.98,3.062
16.7189,3.062
17.145,3.062
18.0199,3.062
17.8746,3.062
17.4945,3.062
18.7905,3.062
19.6638,3.062
18.7092,3.062
18.7034,3.062
17.1394,3.062
17.7345,3.062
16.8219,3.062
16.625,3.062
16.4471,3.062
16.3799,3.062
15.9911,3.062
16.1766,3.062
17.3802,3.062
17.9714,3.062
30.0492,3.062
21.0539,3.062
18.6086,3.062
18.0098,3.062
19.8744,3.062
19.2175,3.062
17.4689,3.062
16.6153,3.062
16.2053,3.062
16.0124,3.062
15.8719,3.062
16.8707,3.062
15.915,3.062
15.3455,3.062
19.1267,3.062
15.1484,3.062
14.1422,3.062
5.8798,3.062
11.918,3.062
11.031,3.062
8.1748,3.062
6.6952,3.062
3.9592,3.062
5.8178,3.062
8.4393,3.062
3.1192,3.062
6.168,3.062
14.6305,3.062
14.3333,3.062
18.8941,3.062
16.5396,3.062
15.1083,3.062
14.1457,3.062
14.4648,3.062
17.138,3.062
19.9823,3.062
21.2494,3.007
19.5775,3.007
19.5249,3.007
18.7774,3.007
17.556,3.007
16.053,3.007
14.8154,3.007
14.4838,3.007
13.9756,3.007
14.0188,3.007
13.689,3.007
13.9693,3.007
15.2727,3.007
16.8845,3.007
16.4407,3.007
16.9961,3.007
19.7415,3.007
14.4065,3.007
13.1392,3.007
11.8065,3.007
12.9515,3.007
9.3288,3.007
15.1923,3.007
13.6891,3.007
8.4839,3.007
-14.5803,3.007
-12.9577,3.007
1.2633,3.007
3.6459,3.007
1.6375,3.007
1.1051,3.007
-1.3155,3.007
-2.6386,3.007
-4.3592,3.007
17.1633,3.007
20.0722,3.007
38.983,3.007
