year,time,zone,location,existingresource,nameplateMWh,solarMWh,windMWh,batteriesMWh,natgasMWh,LMP8760,gas8760
2021,176,WCO,Carousel,wind,150,26.25,96.525,,,11.7916,3.062
2021,177,WCO,Carousel,wind,150,31.5,96.525,,,11.6083,3.062
2021,178,WCO,Carousel,wind,150,42,96.525,,,12.3111,3.062
2021,179,WCO,Carousel,wind,150,47.25,96.525,,,9.4547,3.062
2021,180,WCO,Carousel,wind,150,52.5,96.525,,,25.1511,3.062
2021,181,WCO,Carousel,wind,150,47.67,122.85,,,58.2368,3.062
2021,182,WCO,Carousel,wind,150,52.5,122.85,,,6.5169,3.062
2021,183,WCO,Carousel,wind,150,47.25,122.85,,,7.7886,3.062
2021,184,WCO,Carousel,wind,150,42,122.85,,,25.6161,3.062
2021,185,WCO,Carousel,wind,150,31.5,122.85,,,9.2566,3.062
2021,186,WCO,Carousel,wind,150,31.5,122.85,,,6.0754,3.062
2021,187,WCO,Carousel,wind,150,26.25,52.65,,,2.4018,3.062
2021,188,WCO,Carousel,wind,150,26.25,52.65,,,-3.406,3.062
2021,189,WCO,Carousel,wind,150,0,52.65,,,-3.9504,3.062
2021,190,WCO,Carousel,wind,150,0,52.65,,,-5.5303,3.062
2021,191,WCO,Carousel,wind,150,0,52.65,,,-2.3031,3.062
2021,192,WCO,Carousel,wind,150,0,52.65,,,-1.1052,3.062
2021,193,WCO,Carousel,wind,150,0,78.975,,,-0.5455,3.062
2021,194,WCO,Carousel,wind,150,0,78.975,,,-1.7405,3.062
2021,195,WCO,Carousel,wind,150,0,78.975,,,-2.9733,3.062
2021,196,WCO,Carousel,wind,150,0,78.975,,,-3.5308,3.062
2021,197,WCO,Carousel,wind,150,0,78.975,,,-4.8229,3.062
2021,198,WCO,Carousel,wind,150,0,78.975,,,-8.3126,3.062
2021,199,WCO,Carousel,wind,150,0,96.525,,,-8.4628,3.062
2021,200,WCO,Carousel,wind,150,26.25,96.525,,,-9.4031,3.062
2021,201,WCO,Carousel,wind,150,31.5,96.525,,,-16.6429,3.062
